article_slug,broken_link,fix_to,target_exists
what-is-supply-chain-security,/tracks/knowledge_base/articles/02-explore/deep-dives/the-continuous-trust-loop,/knowledge-hub/the-continuous-trust-loop,YES
what-is-supply-chain-security,/tracks/knowledge_base/articles/02-explore/architecture/verified-source-philosophy,/knowledge-hub/verified-source-philosophy,YES
what-is-supply-chain-security,/tracks/knowledge_base/articles/05-deploy/migration/dockerfile-to-yaml-migration,/knowledge-hub/dockerfile-to-yaml-migration,YES
what-is-supply-chain-security,/tracks/knowledge_base/articles/02-explore/deep-dives/compliance-architecture,/knowledge-hub/compliance-architecture,YES
what-is-supply-chain-security,/tracks/knowledge_base/articles/01-understand/security-fundamentals/what-is-soc2,/knowledge-hub/what-is-soc2,YES
what-is-supply-chain-security,/tracks/knowledge_base/articles/01-understand/security-fundamentals/what-is-iso27001,/knowledge-hub/what-is-iso27001,YES
what-is-supply-chain-security,/tracks/knowledge_base/articles/01-understand/security-fundamentals/what-is-pci-dss,/knowledge-hub/what-is-pci-dss,YES
what-is-supply-chain-security,/tracks/knowledge_base/articles/01-understand/security-fundamentals/what-is-compliance-as-code,/knowledge-hub/what-is-compliance-as-code,YES
what-is-cicd,/tracks/knowledge_base/articles/05-deploy/getting-started/end-to-end-secure-deployment,/knowledge-hub/end-to-end-secure-deployment,YES
what-is-cicd,/tracks/knowledge_base/articles/01-understand/security-fundamentals/what-is-a-container-image,/knowledge-hub/what-is-a-container-image,YES
what-is-soc2,/tracks/knowledge_base/articles/01-understand/security-fundamentals/what-is-iso27001,/knowledge-hub/what-is-iso27001,YES
what-is-soc2,/tracks/knowledge_base/articles/01-understand/security-fundamentals/what-is-pci-dss,/knowledge-hub/what-is-pci-dss,YES
what-is-soc2,/tracks/knowledge_base/articles/01-understand/security-fundamentals/what-is-compliance-as-code,/knowledge-hub/what-is-compliance-as-code,YES
what-is-pci-dss,/tracks/knowledge_base/articles/01-understand/security-fundamentals/what-is-soc2,/knowledge-hub/what-is-soc2,YES
what-is-pci-dss,/tracks/knowledge_base/articles/01-understand/security-fundamentals/what-is-iso27001,/knowledge-hub/what-is-iso27001,YES
what-is-pci-dss,/tracks/knowledge_base/articles/01-understand/security-fundamentals/what-is-compliance-as-code,/knowledge-hub/what-is-compliance-as-code,YES
what-is-iso27001,/tracks/knowledge_base/articles/01-understand/security-fundamentals/what-is-soc2,/knowledge-hub/what-is-soc2,YES
what-is-iso27001,/tracks/knowledge_base/articles/01-understand/security-fundamentals/what-is-pci-dss,/knowledge-hub/what-is-pci-dss,YES
what-is-iso27001,/tracks/knowledge_base/articles/01-understand/security-fundamentals/what-is-compliance-as-code,/knowledge-hub/what-is-compliance-as-code,YES
glibc-vs-musl,/tracks/knowledge_base/articles/01-understand/security-fundamentals/what-is-apk-package-manager,/knowledge-hub/what-is-apk-package-manager,YES
glibc-vs-musl,/tracks/knowledge_base/articles/01-understand/security-fundamentals/what-is-apk-package-manager,/knowledge-hub/what-is-apk-package-manager,YES
glibc-vs-musl,/tracks/knowledge_base/articles/03-learn/why-cleanstart/how-cleanstart-is-different,/knowledge-hub/how-cleanstart-is-different,YES
dev-vs-prod-images,/tracks/knowledge_base/articles/01-understand/fundamentals/development-images-vs-application-images,/knowledge-hub/development-images-vs-application-images,YES
two-factory-architecture,/tracks/knowledge_base/articles/01-understand/fundamentals/container-image-fundamentals,/knowledge-hub/container-image-fundamentals,YES
two-factory-architecture,/tracks/knowledge_base/articles/01-understand/fundamentals/container-image-layers-deep-dive,/knowledge-hub/container-image-layers-deep-dive,YES
strip-down-vs-source-built,/tracks/knowledge_base/articles/01-understand/fundamentals/standard-vs-distroless-images,/knowledge-hub/standard-vs-distroless-images,YES
strip-down-vs-source-built,/tracks/knowledge_base/articles/01-understand/security-fundamentals/what-is-a-container-image,/knowledge-hub/what-is-a-container-image,YES
strip-down-vs-source-built,/tracks/knowledge_base/articles/01-understand/fundamentals/container-image-layers-deep-dive,/knowledge-hub/container-image-layers-deep-dive,YES
strip-down-vs-source-built,/tracks/knowledge_base/articles/02-explore/deep-dives/build-stage-security,/knowledge-hub/build-stage-security,YES
strip-down-vs-source-built,/tracks/knowledge_base/articles/02-explore/architecture/verified-source-philosophy,/knowledge-hub/verified-source-philosophy,YES
verified-source-philosophy,/tracks/knowledge_base/articles/01-understand/security-fundamentals/what-is-supply-chain-security,/knowledge-hub/what-is-supply-chain-security,YES
verified-source-philosophy,/tracks/knowledge_base/articles/01-understand/fundamentals/prebuild-stage-security,/knowledge-hub/prebuild-stage-security,YES
verified-source-philosophy,/tracks/knowledge_base/articles/01-understand/security-fundamentals/what-is-sbom,/knowledge-hub/what-is-sbom,YES
verified-source-philosophy,/tracks/knowledge_base/articles/01-understand/security-fundamentals/what-is-slsa,/knowledge-hub/what-is-slsa,YES
verified-source-philosophy,/tracks/knowledge_base/articles/02-explore/deep-dives/build-stage-security,/knowledge-hub/build-stage-security,YES
verified-source-philosophy,/tracks/knowledge_base/articles/02-explore/deep-dives/the-continuous-trust-loop,/knowledge-hub/the-continuous-trust-loop,YES
verified-source-philosophy,/tracks/knowledge_base/articles/05-deploy/migration/dockerfile-to-yaml-migration,/knowledge-hub/dockerfile-to-yaml-migration,YES
verified-source-philosophy,/tracks/knowledge_base/articles/05-deploy/getting-started/end-to-end-secure-deployment,/knowledge-hub/end-to-end-secure-deployment,YES
build-stage-security,/tracks/knowledge_base/articles/01-understand/fundamentals/prebuild-stage-security,/knowledge-hub/prebuild-stage-security,YES
build-stage-security,/tracks/knowledge_base/articles/01-understand/fundamentals/container-image-fundamentals,/knowledge-hub/container-image-fundamentals,YES
build-stage-security,/tracks/knowledge_base/articles/02-explore/deep-dives/the-continuous-trust-loop,/knowledge-hub/the-continuous-trust-loop,YES
build-stage-security,/tracks/knowledge_base/articles/02-explore/architecture/verified-source-philosophy,/knowledge-hub/verified-source-philosophy,YES
build-stage-security,/tracks/knowledge_base/articles/05-deploy/migration/dockerfile-to-yaml-migration,/knowledge-hub/dockerfile-to-yaml-migration,YES
build-stage-security,/tracks/knowledge_base/articles/05-deploy/getting-started/end-to-end-secure-deployment,/knowledge-hub/end-to-end-secure-deployment,YES
build-stage-security,/tracks/knowledge_base/articles/01-understand/fundamentals/prebuild-stage-security,/knowledge-hub/prebuild-stage-security,YES
build-stage-security,/tracks/knowledge_base/articles/07-secure/hardening/runtime-stage-security,/knowledge-hub/runtime-stage-security,YES
container-security-maturity-model,/tracks/knowledge_base/articles/01-understand/fundamentals/container-security-best-practices,/knowledge-hub/container-security-best-practices,YES
container-security-maturity-model,/tracks/knowledge_base/articles/01-understand/fundamentals/how-enterprises-patch-containers,/knowledge-hub/how-enterprises-patch-containers,YES
how-cleanstart-is-different,/tracks/knowledge_base/articles/01-understand/security-fundamentals/the-layered-security-problem,/knowledge-hub/the-layered-security-problem,YES
how-cleanstart-is-different,/tracks/knowledge_base/articles/01-understand/security-fundamentals/library-cve-maintainer-dependency,/knowledge-hub/library-cve-maintainer-dependency,YES
adoption-decision-framework,/tracks/knowledge_base/articles/03-learn/why-cleanstart/executive-summary-one-pager,/knowledge-hub/executive-summary-one-pager,YES
why-cleanstart,/tracks/knowledge_base/articles/03-learn/why-cleanstart/how-cleanstart-is-different,/knowledge-hub/how-cleanstart-is-different,YES
yaml-image-configuration,/tracks/knowledge_base/articles/01-understand/fundamentals/docker-and-oci-specification,/knowledge-hub/docker-and-oci-specification,YES
yaml-image-configuration,/tracks/knowledge_base/articles/01-understand/fundamentals/container-image-layers-deep-dive,/knowledge-hub/container-image-layers-deep-dive,YES
ai-runtime-overview,/tracks/knowledge_base/articles/01-understand/fundamentals/ai-ml-container-stack-explained,/knowledge-hub/ai-ml-container-stack-explained,YES
end-to-end-secure-deployment,/tracks/knowledge_base/articles/01-understand/fundamentals/container-image-fundamentals,/knowledge-hub/container-image-fundamentals,YES
end-to-end-secure-deployment,/tracks/knowledge_base/articles/01-understand/fundamentals/container-security-best-practices,/knowledge-hub/container-security-best-practices,YES
end-to-end-secure-deployment,/tracks/knowledge_base/articles/01-understand/security-fundamentals/what-is-supply-chain-security,/knowledge-hub/what-is-supply-chain-security,YES
end-to-end-secure-deployment,/tracks/knowledge_base/articles/02-explore/deep-dives/build-stage-security,/knowledge-hub/build-stage-security,YES
end-to-end-secure-deployment,/tracks/knowledge_base/articles/02-explore/deep-dives/the-continuous-trust-loop,/knowledge-hub/the-continuous-trust-loop,YES
end-to-end-secure-deployment,/tracks/knowledge_base/articles/02-explore/deep-dives/strip-down-vs-source-built,/knowledge-hub/strip-down-vs-source-built,YES
getting-started-dotnet,/tracks/knowledge_base/articles/01-understand/fundamentals/container-image-fundamentals,/knowledge-hub/container-image-fundamentals,YES
getting-started-ruby,/tracks/knowledge_base/articles/01-understand/fundamentals/container-image-fundamentals,/knowledge-hub/container-image-fundamentals,YES
getting-started-python,/tracks/knowledge_base/articles/01-understand/fundamentals/container-image-fundamentals,/knowledge-hub/container-image-fundamentals,YES
migration-overview,/tracks/knowledge_base/articles/01-understand/fundamentals/container-registries-compared,/knowledge-hub/container-registries-compared,YES
migration-overview,/tracks/knowledge_base/articles/01-understand/fundamentals/how-enterprises-patch-containers,/knowledge-hub/how-enterprises-patch-containers,YES
cicd-overview,/tracks/knowledge_base/articles/01-understand/fundamentals/container-images-in-cicd,/knowledge-hub/container-images-in-cicd,YES
cicd-overview,/tracks/knowledge_base/articles/01-understand/fundamentals/prebuild-stage-security,/knowledge-hub/prebuild-stage-security,YES
cicd-overview,/tracks/knowledge_base/articles/02-explore/deep-dives/build-stage-security,/knowledge-hub/build-stage-security,YES
bitnami-helm-values-reference,/tracks/knowledge_base/articles/01-understand/fundamentals/helm-fundamentals,/knowledge-hub/helm-fundamentals,YES
helm-charts-kubernetes,/tracks/knowledge_base/articles/01-understand/fundamentals/kubernetes-manifests-and-deployments,/knowledge-hub/kubernetes-manifests-and-deployments,YES
helm-charts-kubernetes,/tracks/knowledge_base/articles/01-understand/fundamentals/container-orchestration-kubernetes,/knowledge-hub/container-orchestration-kubernetes,YES
upgrade-patching-playbook,/tracks/knowledge_base/articles/01-understand/security-fundamentals/what-is-supply-chain-security,/knowledge-hub/what-is-supply-chain-security,YES
upgrade-patching-playbook,/tracks/knowledge_base/articles/01-understand/security-fundamentals/what-is-a-cve,/knowledge-hub/what-is-a-cve,YES
upgrade-patching-playbook,/tracks/knowledge_base/articles/01-understand/fundamentals/machine-speed-vs-human-speed,/knowledge-hub/machine-speed-vs-human-speed,YES
upgrade-patching-playbook,/tracks/knowledge_base/articles/02-explore/deep-dives/build-stage-security,/knowledge-hub/build-stage-security,YES
upgrade-patching-playbook,/tracks/knowledge_base/articles/02-explore/deep-dives/the-continuous-trust-loop,/knowledge-hub/the-continuous-trust-loop,YES
upgrade-patching-playbook,/tracks/knowledge_base/articles/02-explore/architecture/verified-source-philosophy,/knowledge-hub/verified-source-philosophy,YES
fips-140-overview,/tracks/knowledge_base/articles/01-understand/fundamentals/how-containers-interact-with-the-kernel,/knowledge-hub/how-containers-interact-with-the-kernel,YES
cis-hardening,/tracks/knowledge_base/articles/01-understand/fundamentals/container-security-best-practices,/knowledge-hub/container-security-best-practices,YES
cis-hardening,/tracks/knowledge_base/articles/01-understand/fundamentals/container-scope-vs-kernel-scope,/knowledge-hub/container-scope-vs-kernel-scope,YES
runtime-stage-security,/tracks/knowledge_base/articles/01-understand/fundamentals/prebuild-stage-security,/knowledge-hub/prebuild-stage-security,YES
runtime-stage-security,/tracks/knowledge_base/articles/02-explore/deep-dives/build-stage-security,/knowledge-hub/build-stage-security,YES
runtime-stage-security,/tracks/knowledge_base/articles/01-understand/fundamentals/prebuild-stage-security,/knowledge-hub/prebuild-stage-security,YES
runtime-stage-security,/tracks/knowledge_base/articles/02-explore/deep-dives/build-stage-security,/knowledge-hub/build-stage-security,YES
cyclonedx-sbom,/tracks/knowledge_base/articles/05-deploy/getting-started/end-to-end-secure-deployment,/knowledge-hub/end-to-end-secure-deployment,YES
cyclonedx-sbom,/tracks/knowledge_base/articles/01-understand/security-fundamentals/what-is-a-cve,/knowledge-hub/what-is-a-cve,YES
vex-documents,/tracks/knowledge_base/articles/02-explore/deep-dives/vulnerability-across-all-layers,/knowledge-hub/vulnerability-across-all-layers,YES
vex-documents,/tracks/knowledge_base/articles/01-understand/security-fundamentals/library-cve-maintainer-dependency,/knowledge-hub/library-cve-maintainer-dependency,YES
ai-ml-image-reference,/tracks/knowledge_base/articles/01-understand/fundamentals/ai-ml-container-stack-explained,/knowledge-hub/ai-ml-container-stack-explained,YES
